views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
24075,189,2,23,94.5,1.736842105263158,0.21052631578947367,0.18357894736842106,0.07173684210526315,0.7446842105263156,0.07411052631578947
164801,6599,333,1104,19.816816816816768,0.06666666666666667,0.02,0.29042,0.04707333333333334,0.6625033333333331,0.35532033333333335
89664,6653,46,561,144.6304347826082,0.06333333333333334,0.0,0.32435000000000014,0.04113333333333334,0.6345166666666668,0.40975566666666635
1894817,83607,3834,4344,21.80672926447564,0.26,0.012,0.14294799999999996,0.08519199999999999,0.7698559999999997,0.09905079999999995
1154869,63803,1201,6289,53.12489592006715,22.595,1.625,0.11809999999999996,0.05566499999999999,0.8262450000000002,0.11532949999999996
89730,2020,44,305,45.90909090909092,0.579476861167002,0.2857142857142857,0.11326358148893358,0.0990985915492958,0.7876398390342048,0.034729577464788754
1392747,56515,2405,10220,23.49896049896051,0.078,0.014,0.10520800000000004,0.068666,0.8261219999999998,0.07096699999999996
3300,34,2,89,17.0,1.0,12.583333333333334,0.22566666666666668,0.13266666666666668,0.6416666666666667,-0.07913333333333335
879197,34415,1185,3837,29.04219409282712,0.13,0.006666666666666667,0.1248933333333333,0.08001333333333338,0.7950900000000002,0.09358833333333338
88447,1774,67,176,26.477611940298512,13.958456973293769,1.0623145400593472,0.1363649851632048,0.10454005934718102,0.7590949554896147,0.07728308605341246
35011,105,4,74,26.25,9.833333333333334,11.333333333333334,0.18516666666666667,0.1455,0.6693333333333333,0.08126666666666667
1788736,86388,1415,3922,61.05159010600644,0.348,0.006,0.20133400000000012,0.12067600000000002,0.6779960000000004,0.13769959999999987
415382,12329,469,1746,26.287846481876276,1.0,0.16,0.2288349999999999,0.049065,0.7170949999999999,0.32783999999999996
18809766,1075133,107386,143156,10.011854431676452,0.21166666666666667,0.03,0.17542833333333338,0.11250499999999998,0.7104049999999994,0.0786828333333332
156899,10461,143,1203,73.15384615384586,0.105,0.23,0.22469999999999998,0.03364000000000001,0.7416400000000003,0.3548835
305142,12523,116,426,107.95689655172453,0.5,0.022,0.3340840000000001,0.028894000000000006,0.637052,0.3884660000000001
32213,1790,12,148,149.16666666666708,3.44,0.37,0.3256500000000001,0.02972000000000001,0.6446199999999999,0.49927049999999995
642280,7943,432,1631,18.386574074074087,0.04,0.01,0.10799999999999998,0.12577,0.75622,-0.11602699999999999
2803609,82045,1171,3262,70.06404782237293,0.315,0.013333333333333334,0.2899116666666669,0.05094666666666666,0.6591383333333333,0.3584701666666665
1152142,49337,476,7325,103.64915966386587,0.125,0.015,0.24692500000000003,0.035405,0.7126550000000001,0.301834
529542,18782,1273,3304,14.754124116260758,10.134,5.02,0.17880399999999996,0.07261799999999997,0.7485720000000005,0.2508671999999998
866712,13740,1420,2204,9.676056338028216,0.14,0.0,0.14519500000000002,0.07813500000000001,0.7766650000000002,0.10066249999999996
1210034,1832,153,377,11.973856209150307,3.791208791208791,0.5274725274725275,0.16399633699633703,0.05396703296703296,0.78203663003663,0.15568974358974363
251907,11072,156,2004,70.97435897435929,4.8575,0.1525,0.2284149999999999,0.04442750000000002,0.7196575000000004,0.35964349999999995
45388,573,9,51,63.666666666666664,10.325,1.0,0.19897499999999999,0.0863,0.7146750000000001,0.237755
53340,1700,33,94,51.51515151515151,2.253968253968254,0.5079365079365079,0.1334285714285714,0.037126984126984126,0.8294126984126984,0.14913650793650793
