video_id,category_id,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
-Jdc7FXupWQ,29,,,,,,,,,,,
-Jdc7FXupWQ,43,,,,,,,,,,,
-JmNKGfFj7w,1,,,,,,,,,,,
-JmNKGfFj7w,2,,,,,,,,,,,
-JmNKGfFj7w,10,,,,,,,,,,,
-JmNKGfFj7w,15,,,,,,,,,,,
-JmNKGfFj7w,17,,,,,,,,,,,
-JmNKGfFj7w,19,,,,,,,,,,,
-JmNKGfFj7w,20,,,,,,,,,,,
-JmNKGfFj7w,22,,,,,,,,,,,
-JmNKGfFj7w,23,,,,,,,,,,,
-JmNKGfFj7w,24,3101709.0,19954.0,773.0,6239.0,25.813712807244542,0.135,0.015,0.17988000000000004,0.11701499999999995,0.703115,0.09112399999999997
-JmNKGfFj7w,25,,,,,,,,,,,
-JmNKGfFj7w,26,,,,,,,,,,,
-JmNKGfFj7w,27,,,,,,,,,,,
-JmNKGfFj7w,28,,,,,,,,,,,
-JmNKGfFj7w,29,,,,,,,,,,,
-JmNKGfFj7w,43,,,,,,,,,,,
-LoSw4o2zDQ,1,,,,,,,,,,,
-LoSw4o2zDQ,2,,,,,,,,,,,
-LoSw4o2zDQ,10,,,,,,,,,,,
-LoSw4o2zDQ,15,,,,,,,,,,,
-LoSw4o2zDQ,17,,,,,,,,,,,
-LoSw4o2zDQ,19,,,,,,,,,,,
-LoSw4o2zDQ,20,,,,,,,,,,,
-LoSw4o2zDQ,22,,,,,,,,,,,
-LoSw4o2zDQ,23,,,,,,,,,,,
-LoSw4o2zDQ,24,,,,,,,,,,,
-LoSw4o2zDQ,25,,,,,,,,,,,
-LoSw4o2zDQ,26,62600.0,4715.0,29.0,483.0,162.58620689655118,1.89,0.5366666666666666,0.32000333333333336,0.01754666666666667,0.6524299999999997,0.466892
-LoSw4o2zDQ,27,,,,,,,,,,,
-LoSw4o2zDQ,28,,,,,,,,,,,
-LoSw4o2zDQ,29,,,,,,,,,,,
-LoSw4o2zDQ,43,,,,,,,,,,,
-PQBaYuvujw,1,,,,,,,,,,,
-PQBaYuvujw,2,,,,,,,,,,,
-PQBaYuvujw,10,,,,,,,,,,,
-PQBaYuvujw,15,,,,,,,,,,,
-PQBaYuvujw,17,,,,,,,,,,,
-PQBaYuvujw,19,,,,,,,,,,,
-PQBaYuvujw,20,,,,,,,,,,,
-PQBaYuvujw,22,,,,,,,,,,,
-PQBaYuvujw,23,,,,,,,,,,,
-PQBaYuvujw,24,937156.0,21764.0,625.0,3396.0,34.82240000000001,0.185,0.015,0.10053500000000003,0.17055999999999993,0.723905,-0.16384050000000006
-PQBaYuvujw,25,,,,,,,,,,,
-PQBaYuvujw,26,,,,,,,,,,,
-PQBaYuvujw,27,,,,,,,,,,,
-PQBaYuvujw,28,,,,,,,,,,,
-PQBaYuvujw,29,,,,,,,,,,,
-PQBaYuvujw,43,,,,,,,,,,,
-QL9dvmddYs,1,,,,,,,,,,,
-QL9dvmddYs,2,,,,,,,,,,,
-QL9dvmddYs,10,,,,,,,,,,,
-QL9dvmddYs,15,,,,,,,,,,,
-QL9dvmddYs,17,,,,,,,,,,,
-QL9dvmddYs,19,,,,,,,,,,,
-QL9dvmddYs,20,,,,,,,,,,,
-QL9dvmddYs,22,,,,,,,,,,,
-QL9dvmddYs,23,936084.0,41787.0,255.0,4821.0,163.87058823529478,0.105,0.015,0.07864499999999999,0.0030275000000000002,0.915825,0.12711550000000002
-QL9dvmddYs,24,,,,,,,,,,,
-QL9dvmddYs,25,,,,,,,,,,,
-QL9dvmddYs,26,,,,,,,,,,,
-QL9dvmddYs,27,,,,,,,,,,,
-QL9dvmddYs,28,,,,,,,,,,,
-QL9dvmddYs,29,,,,,,,,,,,
-QL9dvmddYs,43,,,,,,,,,,,
-SiRV2kWIxg,1,,,,,,,,,,,
-SiRV2kWIxg,2,,,,,,,,,,,
-SiRV2kWIxg,10,,,,,,,,,,,
-SiRV2kWIxg,15,,,,,,,,,,,
-SiRV2kWIxg,17,,,,,,,,,,,
-SiRV2kWIxg,19,,,,,,,,,,,
-SiRV2kWIxg,20,,,,,,,,,,,
-SiRV2kWIxg,22,12305.0,404.0,16.0,14.0,25.25,2.7027027027027026,0.02702702702702703,0.2846486486486486,0.011270270270270272,0.7040810810810811,0.3139135135135136
-SiRV2kWIxg,23,,,,,,,,,,,
-SiRV2kWIxg,24,,,,,,,,,,,
-SiRV2kWIxg,25,,,,,,,,,,,
-SiRV2kWIxg,26,,,,,,,,,,,
-SiRV2kWIxg,27,,,,,,,,,,,
-SiRV2kWIxg,28,,,,,,,,,,,
-SiRV2kWIxg,29,,,,,,,,,,,
-SiRV2kWIxg,43,,,,,,,,,,,
-UAdFerZMWc,1,,,,,,,,,,,
-UAdFerZMWc,2,,,,,,,,,,,
-UAdFerZMWc,10,,,,,,,,,,,
-UAdFerZMWc,15,,,,,,,,,,,
-UAdFerZMWc,17,,,,,,,,,,,
-UAdFerZMWc,19,,,,,,,,,,,
-UAdFerZMWc,20,,,,,,,,,,,
-UAdFerZMWc,22,,,,,,,,,,,
-UAdFerZMWc,23,,,,,,,,,,,
-UAdFerZMWc,24,35730.0,1311.0,44.0,160.0,29.795454545454582,5.866666666666666,0.6,0.15377575757575757,0.09884848484848484,0.7473757575757576,0.09476363636363636
-UAdFerZMWc,25,,,,,,,,,,,
-UAdFerZMWc,26,,,,,,,,,,,
-UAdFerZMWc,27,,,,,,,,,,,
-UAdFerZMWc,28,,,,,,,,,,,
-UAdFerZMWc,29,,,,,,,,,,,
-UAdFerZMWc,43,,,,,,,,,,,
-_CmfnzbLFc,1,,,,,,,,,,,
-_CmfnzbLFc,2,,,,,,,,,,,
-_CmfnzbLFc,10,,,,,,,,,,,
-_CmfnzbLFc,15,,,,,,,,,,,
-_CmfnzbLFc,17,,,,,,,,,,,
-_CmfnzbLFc,19,,,,,,,,,,,
-_CmfnzbLFc,20,,,,,,,,,,,
